date,orderId,total,shipping,subtotal,shipNameFirst,shipNameLast,shipAddress1,		shipAddress2,shipCity,shipState,shipZip,billNameFirst,billNameLast,billAddress1,billAddress2,		billCity,billState,billZip
1970-01-01 00:35:58,12000000001,116.34,2.85,113.49,Sally,Walker,7920 Mangels Rd,Ste. A74,Saulsville,WV,25876,Sally,Walker,7920 Mangels Rd,Ste. A74,Saulsville,WV,25876
1970-01-01 01:22:32,12000000002,157.9,3.24,154.66,Andrew,Pena,3504 Jolly St,,Marion Heights,PA,17832,Andrew,Pena,3504 Jolly St,,Marion Heights,PA,17832
1970-01-01 20:36:41,12000000003,101.86,0.05,101.81,Samuel,Bradshaw,393 Collier St,,Oklahoma City,OK,73123,Samuel,Bradshaw,393 Collier St,,Oklahoma City,OK,73123
1970-01-02 13:05:10,12000000004,64.24,2.35,61.89,Christy,Quinn,4662 Beam St,B77,Valmeyer,IL,62295,Christy,Quinn,4662 Beam St,B77,Valmeyer,IL,62295
1970-01-03 10:18:48,12000000005,38.11,2.89,35.22,Alia,Patton,4007 Vicars Ave,,Progreso,TX,78579,Alia,Patton,4007 Vicars Ave,,Progreso,TX,78579
1970-01-03 15:08:28,12000000006,32.87,1.17,31.7,Britney,Clark,6616 Brown Rd,,Ridgecrest,CA,93555,Britney,Clark,6616 Brown Rd,,Ridgecrest,CA,93555
1970-01-04 04:19:50,12000000007,64.49,3.6,60.89,Richard,Wade,5554 Bonner Rd,,Mount Vernon,WA,98273,Kevin,Norrington,1692 York St,,Jonesboro,AR,72404
1970-01-04 13:21:40,12000000008,37.74,1.07,36.67,Ramon,Watson,55 Boggs Blvd,,Lake Charles,LA,70607,Ramon,Watson,55 Boggs Blvd,,Lake Charles,LA,70607
1970-01-05 05:08:06,12000000009,193.11,4.84,188.27,Mercedes,Glaser,5232 Fiecke Rd,,Felicity,OH,45120,Bethany,Buchanan,6229 Butler St,,Barnum,MN,55676
1970-01-05 18:13:50,12000000010,87.07,1.33,85.74,William,Howell,6687 Glenn Ave,,Glendale,AZ,85302,William,Howell,6687 Glenn Ave,,Glendale,AZ,85302
1970-01-06 09:29:48,12000000011,193.9,2.1,191.8,Bertha,Brown,1962 Harris Ave,A-5,Bloomdale,OH,44817,Bertha,Brown,1962 Harris Ave,A-5,Bloomdale,OH,44817
1970-01-07 04:55:48,12000000012,80.52,1.42,79.1,Jason,Thomas,4990 Morton Blvd,,Ninilchik,AK,99639,Jason,Thomas,4990 Morton Blvd,,Ninilchik,AK,99639
1970-01-07 06:12:51,12000000013,138.75,4.96,133.79,Richard,Clemons,8335 Jones Rd,Ste. A43,Calumet City,IL,60409,Richard,Clemons,8335 Jones Rd,Ste. A43,Calumet City,IL,60409
1970-01-08 09:11:22,12000000014,51.77,5.06,46.71,Tasha,Jones,5819 Drake St,,Slade,KY,40376,Tasha,Jones,5819 Drake St,,Slade,KY,40376
1970-01-08 22:29:00,12000000015,175.37,1.52,173.85,Rosemary,Suazo,1631 Delgado Ave,,Dawson,IL,62520,Kathryn,Thomas,7220 Mead Ave,,Oakley,CA,94561
1970-01-09 18:27:40,12000000016,133.13,4.47,128.66,Thomas,Thompson,2496 Thompson St,,Conway Springs,KS,67031,Thomas,Thompson,2496 Thompson St,,Conway Springs,KS,67031
1970-01-10 22:09:06,12000000017,25.42,1.63,23.79,Ernest,Jackson,7052 York Rd,,Millers Tavern,VA,23115,Ernest,Jackson,7052 York Rd,,Millers Tavern,VA,23115
1970-01-11 09:55:51,12000000018,92.36,2.6,89.76,Anika,Hanson,8008 Fife,,Heth,AR,72346,Anika,Hanson,8008 Fife,,Heth,AR,72346
1970-01-12 09:20:44,12000000019,164.5,4.22,160.28,Dorothy,Reynolds,170 Glover Ct,,Fort Worth,TX,76195,Dorothy,Reynolds,170 Glover Ct,,Fort Worth,TX,76195
1970-01-13 01:23:20,12000000020,41.67,0.66,41.01,Nicolas,Johnson,1168 Curry,,Lake Charles,LA,70609,Nicolas,Johnson,1168 Curry,,Lake Charles,LA,70609
1970-01-13 13:45:50,12000000021,112.95,0.88,112.07,Loretta,Khan,3308 Burkhart Rd,Unit 39,Collinwood,TN,38350,Loretta,Khan,3308 Burkhart Rd,Unit 39,Collinwood,TN,38350
1970-01-13 15:07:06,12000000022,141.55,4.64,136.91,Juan,Sullivan,9823 Boutte St,B27,Kansas City,MO,64151,Juan,Sullivan,9823 Boutte St,B27,Kansas City,MO,64151
1970-01-14 15:32:05,12000000023,148.58,2.4,146.18,Guy,Arnold,3032 Parish St,,Baltimore,MD,21216,Guy,Arnold,3032 Parish St,,Baltimore,MD,21216
1970-01-15 12:57:10,12000000024,82.31,4.56,77.75,Julie,Martinez,3042 Boulet Ave,,Newport,NY,13416,Julie,Martinez,3042 Boulet Ave,,Newport,NY,13416
1970-01-16 02:12:33,12000000025,186.24,1.17,185.07,Steven,Grimmett,2494 Wright,,Largo,FL,33777,Steven,Grimmett,2494 Wright,,Largo,FL,33777
1970-01-17 01:07:36,12000000026,75.56,1.56,74.0,Christina,Binkley,6303 Wright Ct,,Saint Michael,MN,55376,Christina,Binkley,6303 Wright Ct,,Saint Michael,MN,55376
1970-01-17 12:43:13,12000000027,89.66,2.54,87.12,Paul,Bolanos,9212 Prahl Ave,,Eielson AFB,AK,99702,Paul,Bolanos,9212 Prahl Ave,,Eielson AFB,AK,99702
1970-01-18 01:54:58,12000000028,99.01,1.45,97.56,Carolyn,Christian,1148 Schmidt Rd,,Brainard,NE,68626,Janie,Brewer,2815 Lehnen Ct,,Donie,TX,75838
1970-01-18 15:57:25,12000000029,159.15,3.12,156.03,David,Wing,4832 Evensen Blvd,,Wilson,LA,70789,David,Wing,4832 Evensen Blvd,,Wilson,LA,70789
1970-01-18 21:17:06,12000000030,33.32,3.81,29.51,Joanna,Byrd,8488 Segura Rd,,Sacramento,CA,95860,Joanna,Byrd,8488 Segura Rd,,Sacramento,CA,95860
1970-01-19 12:34:29,12000000031,51.26,1.62,49.64,Elena,Puulei,9036 Morrison St,,Santa Barbara,CA,93140,Elena,Puulei,9036 Morrison St,,Santa Barbara,CA,93140
1970-01-20 15:03:31,12000000032,90.96,2.74,88.22,Edward,Richard,4193 Calligan Rd,C69,Germantown,TN,38139,Edward,Richard,4193 Calligan Rd,C69,Germantown,TN,38139
1970-01-21 12:53:16,12000000033,57.48,0.55,56.93,Patricia,Herman,8678 Brown St,,Reva,VA,22735,Patricia,Herman,8678 Brown St,,Reva,VA,22735
1970-01-21 19:34:47,12000000034,165.68,2.08,163.6,Henry,Hicks,7650 Hart Ave,,Brookston,TX,75421,Henry,Hicks,7650 Hart Ave,,Brookston,TX,75421
1970-01-22 20:25:28,12000000035,134.72,4.73,129.99,Susan,Dugar,5810 Atkinson Rd,,Lorraine,NY,13659,Andrea,Casanova,4164 Weatherwax St,,Boron,CA,93596
1970-01-23 04:00:37,12000000036,74.77,1.9,72.87,Kimberly,Mabry,6154 Stanfa Rd,,Sterling,MI,48659,Kimberly,Mabry,6154 Stanfa Rd,,Sterling,MI,48659
1970-01-23 20:43:51,12000000037,57.64,2.79,54.85,Dolores,Kelley,2273 Sheller Rd,,Lachine,MI,49753,Dolores,Kelley,2273 Sheller Rd,,Lachine,MI,49753
1970-01-23 20:45:37,12000000038,152.23,0.5,151.73,Irmgard,Kocka,3423 Land St,Unit 45,Sedona,AZ,86351,Irmgard,Kocka,3423 Land St,Unit 45,Sedona,AZ,86351
1970-01-24 02:00:59,12000000039,178.17,2.01,176.16,Ronald,Garner,2351 Hernandez St,,Kankakee,IL,60902,Leonard,Phillips,8670 Jones Ct,,Forest City,MO,64451
